ProductID,ProductName,Category,Manufacturer,Cost,Stock
1,This Collection,Embedded Systems,JKL Semiconductors,89.58,7055
2,Many Season,Electronics,JKL Semiconductors,443.84,4374
3,Cut Suffer,Components,MNO Tools,176.54,2433
4,Product Blood,Embedded Systems,MNO Tools,304.82,8397
5,Today Like,Components,JKL Semiconductors,323.18,6139
6,Positive But,Components,ABC Ltd.,271.9,3635
7,Before Care,Electronics,DEF Electronics,64.22,4100
8,Begin Piece,Components,JKL Semiconductors,41.13,4237
9,Color Wall,Components,GHI Technologies,264.16,1871
10,Animal Improve,Electronics,GHI Technologies,488.64,8495
11,Contain Artist,Components,MNO Tools,84.99,6397
12,System Major,Embedded Systems,ABC Ltd.,68.69,9662
13,Follow Still,Embedded Systems,DEF Electronics,446.34,6733
14,Respond Despite,Tools,JKL Semiconductors,149.09,6057
15,Event Require,Electronics,DEF Electronics,489.23,8989
16,Oil Receive,Tools,GHI Technologies,312.04,6756
17,Over Discussion,Tools,MNO Tools,487.26,7123
18,Small Tonight,Components,JKL Semiconductors,476.82,6502
19,About Now,Components,ABC Ltd.,6.09,6319
20,Within Draw,Tools,GHI Technologies,107.95,5574
21,Five Both,Tools,MNO Tools,51.45,1808
22,Reduce Story,Electronics,JKL Semiconductors,259.42,6158
23,Rise Lead,Tools,DEF Electronics,196.95,9177
24,Try Can,Components,DEF Electronics,438.9,3416
25,Agree You,Embedded Systems,DEF Electronics,196.61,4733
26,Analysis American,Tools,MNO Tools,447.18,1819
27,Community Any,Tools,MNO Tools,182.15,554
28,National Live,Embedded Systems,MNO Tools,396.81,9570
29,Bag Meet,Components,GHI Technologies,449.7,1146
30,Market Senior,Electronics,GHI Technologies,241.57,4000
